snapshot_date,product_id,warehouse,opening_stock,received,dispatched,closing_stock,stock_value
2022-01-01,P1167,WH_Delhi,6045,1323,1266,3413,375816
2022-01-01,P1268,WH_Kolkata,8847,279,402,6044,389096
2022-01-01,P1040,WH_Kolkata,4946,286,1688,1057,491766
2022-01-01,P1242,WH_Bangalore,4314,591,2704,5399,457688
2022-01-01,P1235,WH_Bangalore,9700,847,153,6262,342222
2022-01-01,P1012,WH_Kolkata,1700,480,768,5854,266648
2022-01-01,P1051,WH_Bangalore,3217,1490,2291,6845,331774
2022-01-01,P1204,WH_Delhi,3959,912,1672,7633,240293
2022-01-01,P1109,WH_Mumbai,9345,333,1115,3147,61611
2022-01-01,P1034,WH_Mumbai,9925,534,1331,4203,82666
2022-01-01,P1232,WH_Kolkata,7431,1011,2074,5259,187708
2022-01-01,P1271,WH_Delhi,1697,1058,1065,1024,275457
2022-01-01,P1132,WH_Kolkata,6593,716,676,3528,283325
2022-01-01,P1274,WH_Mumbai,7027,1873,174,5271,141474
2022-01-01,P1087,WH_Delhi,8041,1940,1015,6605,201372
2022-01-01,P1246,WH_Kolkata,6881,539,504,7921,366745
2022-01-01,P1066,WH_Kolkata,9732,418,2707,4023,254507
2022-01-01,P1208,WH_Delhi,9496,183,2497,1866,416408
2022-01-01,P1262,WH_Mumbai,4411,341,217,3041,379669
2022-01-01,P1224,WH_Mumbai,9414,1222,2131,242,52332
2022-01-01,P1021,WH_Mumbai,2057,18,1208,5189,177309
2022-01-01,P1075,WH_Bangalore,4204,1200,2003,3415,434668
2022-01-01,P1223,WH_Delhi,3569,1722,238,5691,188736
2022-01-01,P1008,WH_Kolkata,5111,1572,1419,4976,252090
2022-01-01,P1215,WH_Bangalore,2476,789,2398,4508,87760
2022-01-01,P1243,WH_Mumbai,7164,256,1232,2989,375377
2022-01-01,P1056,WH_Delhi,1047,1628,1594,708,183900
2022-01-01,P1082,WH_Bangalore,9125,1748,2146,2471,466253
2022-01-01,P1231,WH_Bangalore,9613,1938,2211,6414,200337
2022-01-01,P1136,WH_Mumbai,1610,1274,2783,1939,475062
2022-01-01,P1144,WH_Bangalore,4748,1943,1194,7968,466659
2022-01-01,P1216,WH_Bangalore,4541,1130,429,5924,357122
2022-01-01,P1227,WH_Bangalore,9506,589,1435,4334,68137
2022-01-01,P1027,WH_Mumbai,4160,105,2504,7565,428386
2022-01-01,P1072,WH_Mumbai,6907,609,1481,5371,144532
2022-01-01,P1078,WH_Kolkata,7791,1656,1914,1154,452632
2022-01-01,P1165,WH_Kolkata,4501,915,2540,7762,265907
2022-01-01,P1014,WH_Mumbai,9305,796,839,1795,158559
2022-01-01,P1213,WH_Delhi,9241,812,2566,4443,452386
2022-01-01,P1068,WH_Mumbai,3762,337,115,5140,285858
2022-01-01,P1244,WH_Bangalore,5187,428,1458,7741,406457
2022-01-01,P1033,WH_Mumbai,1895,599,2665,840,283113
2022-01-01,P1099,WH_Kolkata,1289,11,834,3144,76934
2022-01-01,P1117,WH_Bangalore,2880,632,648,5263,443904
2022-01-01,P1052,WH_Mumbai,4036,25,1205,2857,223757
2022-01-01,P1079,WH_Mumbai,7599,1173,2673,2794,480404
2022-01-01,P1193,WH_Kolkata,4022,555,1652,7610,228902
2022-01-01,P1192,WH_Bangalore,6206,757,2223,6306,472782
2022-01-01,P1061,WH_Mumbai,4967,1540,2584,6552,308876
2022-01-01,P1181,WH_Kolkata,644,1921,119,4131,161176
2022-01-02,P1125,WH_Kolkata,9259,1861,883,612,421425
2022-01-02,P1118,WH_Mumbai,4674,959,402,2578,363946
2022-01-02,P1236,WH_Kolkata,7129,1713,2320,1733,479061
2022-01-02,P1224,WH_Bangalore,540,1900,2688,7431,403275
2022-01-02,P1260,WH_Bangalore,7935,1460,713,2456,376792
2022-01-02,P1243,WH_Mumbai,1430,1860,628,532,366460
2022-01-02,P1119,WH_Kolkata,4978,70,1738,6870,389344
2022-01-02,P1238,WH_Bangalore,4807,605,375,2031,165461
2022-01-02,P1175,WH_Kolkata,8891,542,1261,3779,128022
2022-01-02,P1135,WH_Kolkata,7612,1535,2113,1503,361768
2022-01-02,P1050,WH_Mumbai,6063,1117,1728,6853,335723
2022-01-02,P1061,WH_Bangalore,7416,1983,1646,800,229553
2022-01-02,P1231,WH_Bangalore,2883,1142,2138,3938,249583
