invoice_id,outlet_id,invoice_date,due_date,invoice_amount,paid_date,paid_amount,outstanding,aging_days,status
INV104033,OUT5001,2026-03-14,2026-03-14,100460,2026-03-10,100460,0,0,Paid
INV7857454,OUT5001,2025-12-16,2025-12-16,368888,2025-12-29,368888,0,0,Paid
INV6630224,OUT5001,2025-11-15,2025-11-15,254152,2025-12-01,254152,0,0,Paid
INV874605,OUT5001,2026-02-10,2026-02-10,408767,2026-03-07,408767,0,0,Paid
INV8908209,OUT5001,2025-12-31,2025-12-31,262249,2025-12-26,262249,0,0,Paid
INV5563082,OUT5001,2025-11-23,2025-11-23,115115,,0,115115,213,Overdue
INV5393383,OUT5001,2026-03-25,2026-03-25,354262,,0,354262,91,Overdue
INV1693273,OUT5001,2026-01-28,2026-01-28,337426,2026-02-04,337426,0,0,Paid
INV8547223,OUT5001,2025-07-21,2025-07-21,82072,2025-08-02,82072,0,0,Paid
INV2235645,OUT5001,2026-02-08,2026-02-08,261905,2026-02-04,261905,0,0,Paid
INV4277054,OUT5002,2025-08-19,2025-10-03,343280,2025-10-15,343280,0,0,Paid
INV7736358,OUT5002,2025-10-08,2025-11-22,128913,2025-11-17,128913,0,0,Paid
INV395518,OUT5002,2026-04-21,2026-06-05,296366,2026-07-04,296366,0,0,Paid
INV1590597,OUT5002,2025-08-01,2025-09-15,80616,2025-09-24,80616,0,0,Paid
INV3185647,OUT5002,2026-06-21,2026-08-05,455054,2026-08-20,455054,0,0,Paid
INV7987203,OUT5002,2025-10-29,2025-12-13,230960,2025-12-11,230960,0,0,Paid
INV9326651,OUT5002,2026-02-16,2026-04-02,216043,2026-04-30,216043,0,0,Paid
INV5622517,OUT5002,2025-11-21,2026-01-05,289667,2026-01-09,289667,0,0,Paid
INV1002603,OUT5002,2025-10-12,2025-11-26,475918,2025-11-29,475918,0,0,Paid
INV6654612,OUT5003,2025-12-20,2026-02-03,200593,2026-02-07,200593,0,0,Paid
INV7144915,OUT5003,2025-12-07,2026-01-21,41036,2026-02-17,41036,0,0,Paid
INV5288379,OUT5003,2025-11-19,2026-01-03,486702,2026-01-26,486702,0,0,Paid
INV8854393,OUT5003,2025-12-24,2026-02-07,189427,2026-02-11,189427,0,0,Paid
INV5519249,OUT5003,2026-06-13,2026-07-28,201641,2026-07-28,201641,0,0,Paid
INV7787544,OUT5003,2026-01-13,2026-02-27,90620,2026-03-06,90620,0,0,Paid
INV593734,OUT5004,2026-02-24,2026-04-25,303240,2026-05-16,303240,0,0,Paid
INV181898,OUT5004,2026-02-15,2026-04-16,343137,2026-04-27,343137,0,0,Paid
INV7380254,OUT5004,2026-02-26,2026-04-27,261479,2026-05-06,261479,0,0,Paid
INV6381103,OUT5004,2025-10-21,2025-12-20,308564,2025-12-24,308564,0,0,Paid
INV1038186,OUT5005,2025-09-01,2025-10-16,401560,,0,401560,251,Outstanding
INV7599545,OUT5005,2025-07-31,2025-09-14,221100,2025-09-18,221100,0,0,Paid
INV9612194,OUT5005,2025-11-16,2025-12-31,325371,2026-01-21,325371,0,0,Paid
INV871790,OUT5005,2025-08-11,2025-09-25,13556,2025-09-28,13556,0,0,Paid
INV1905485,OUT5005,2026-05-23,2026-07-07,470120,,0,470120,-13,Outstanding
INV9708174,OUT5005,2025-06-29,2025-08-13,334647,2025-08-09,334647,0,0,Paid
INV84335,OUT5005,2026-02-01,2026-03-18,85910,2026-04-10,85910,0,0,Paid
INV1860175,OUT5005,2025-10-23,2025-12-07,281962,2025-12-26,281962,0,0,Paid
INV8893614,OUT5005,2025-10-28,2025-12-12,160162,2025-12-11,160162,0,0,Paid
INV9354065,OUT5006,2025-08-22,2025-09-06,445069,2025-09-29,445069,0,0,Paid
INV4067968,OUT5006,2025-11-28,2025-12-13,135000,2025-12-10,135000,0,0,Paid
INV1698224,OUT5006,2026-03-15,2026-03-30,56462,2026-04-15,56462,0,0,Paid
INV4793004,OUT5007,2026-04-08,2026-06-07,340526,2026-07-06,340526,0,0,Paid
INV9438407,OUT5007,2026-01-17,2026-03-18,452560,2026-03-20,452560,0,0,Paid
INV15169,OUT5007,2025-09-30,2025-11-29,427443,2025-12-01,427443,0,0,Paid
INV778383,OUT5007,2026-04-20,2026-06-19,79998,2026-07-06,79998,0,0,Paid
INV5776829,OUT5007,2025-11-01,2025-12-31,274570,,0,274570,175,Overdue
INV3686612,OUT5007,2026-06-22,2026-08-21,25107,2026-09-12,25107,0,0,Paid
INV3036495,OUT5008,2026-03-12,2026-05-11,55396,2026-06-04,55396,0,0,Paid
INV5323452,OUT5008,2026-06-06,2026-08-05,51094,,0,51094,-42,Overdue
INV9249299,OUT5008,2025-07-12,2025-09-10,77874,2025-10-05,77874,0,0,Paid
INV2331878,OUT5008,2026-02-24,2026-04-25,110575,2026-04-27,110575,0,0,Paid
INV2376778,OUT5008,2025-11-09,2026-01-08,71326,2026-01-29,71326,0,0,Paid
INV8888329,OUT5009,2026-03-22,2026-04-21,248041,2026-05-20,248041,0,0,Paid
INV1425563,OUT5009,2025-06-30,2025-07-30,32872,2025-08-23,32872,0,0,Paid
INV8894464,OUT5009,2026-04-20,2026-05-20,197806,2026-06-02,197806,0,0,Paid
INV7819392,OUT5009,2025-07-13,2025-08-12,441489,,0,441489,316,Outstanding
INV8123144,OUT5010,2026-04-08,2026-05-23,274866,2026-05-31,274866,0,0,Paid
INV1194419,OUT5010,2026-01-11,2026-02-25,58166,2026-02-21,58166,0,0,Paid
INV4649377,OUT5010,2026-01-03,2026-02-17,342782,2026-02-20,342782,0,0,Paid
INV9090195,OUT5011,2026-01-12,2026-02-11,175496,2026-03-09,175496,0,0,Paid
INV8994417,OUT5011,2025-10-09,2025-11-08,349485,,0,349485,228,Bad Debt
